"gx","gy","M3Al"
9,30,618.8
9,70,741.8
9,110,677.9
9,150,794.6
9,190,930.2
9,230,596.9
9,270,1036.9
9,310,802.5
9,350,492.7
9,390,1149.5
9,430,988
9,470,551.7
29,10,1062.8
29,50,768.9
29,90,1234.2
29,130,748.3
29,170,942.6
29,210,785.8
29,250,1207.1
29,290,892
29,330,822
29,370,840.1
29,410,866.1
29,450,338.4
29,490,567.6
49,30,547.4
49,70,688.4
49,110,731.4
49,150,775.9
49,190,725.9
49,230,701.5
49,270,737.1
50,311,1023.9
49,350,771.8
49,390,924.8
49,430,1130.5
49,470,388.3
69,10,967.1
69,50,652.8
69,90,987.3
69,130,690.7
69,170,944.7
69,210,1054.6
69,250,1042.1
69,290,631.1
69,330,856.6
69,370,614.3
69,410,900
69,450,470.4
70,491,516.5
89,30,602.2
89,70,755.4
89,110,646.8
89,150,788.7
89,190,837.7
89,235,1019.2
89,270,667.6
89,310,973.6
89,350,525.2
90,391,320.6
89,430,797.9
89,470,766.1
109,10,942
109,50,832.9
109,90,1107.2
109,130,1184.6
109,170,980.4
109,210,1161.3
109,250,1031.9
110,291,663.9
109,330,1147.7
109,370,909.9
109,410,636.2
109,450,626.8
109,490,719.7
129,30,719.8
129,70,1030
130,111,805.1
129,150,913.7
129,190,924.3
129,230,1093.9
129,270,605.7
129,310,786.7
129,350,683.5
129,390,1066.5
129,430,916
129,470,591.1
149,10,1153.8
149,50,1130.9
149,90,893.6
149,130,706.5
150,171,1056.1
149,210,830
149,250,737.3
149,290,1122.3
144,330,1200.7
149,370,770.6
149,410,877
149,450,613.2
149,490,698
169,30,661.5
169,70,756.7
169,110,1045.3
169,150,652
169,190,994.4
169,230,1201.2
169,270,1039.8
169,310,1024.3
169,350,738
169,390,1190.2
169,430,1151.5
169,470,933
189,10,801.5
189,50,912.8
189,90,1263.9
189,130,1036.2
189,170,976.5
189,210,949.1
189,250,1232.2
190,291,603.2
189,330,778.2
189,370,807.3
189,410,1074.7
189,450,1268.1
189,490,1111.5
209,30,602.2
209,70,850
209,110,646.3
209,150,640.4
209,190,945.8
209,230,664.1
209,270,857.1
209,310,665.5
209,350,1005.3
209,390,945.8
209,430,1251.6
209,470,1125.7
230,11,823.2
229,50,773.4
229,90,1260.1
224,130,946.3
229,170,1090.8
229,210,1200.1
229,250,929.3
229,290,864
229,330,1325.9
229,370,921.6
229,410,821.6
229,450,529.6
229,490,686.7
249,30,788.6
249,70,703.2
249,110,1103.1
249,150,881.3
249,190,912.1
244,230,752
249,270,944.6
249,310,897.3
249,350,819.6
249,390,1386
249,430,994.2
249,470,608.9
269,10,687.6
270,51,703.4
269,90,1079.6
269,130,1225.1
269,170,998.4
269,210,939.4
269,250,1368.1
269,290,1034.9
269,330,719.8
269,370,861
269,410,604.1
269,450,1044.4
264,490,839.7
284,30,430.7
289,70,596
284,110,522
289,150,931.5
284,190,1115.3
284,230,928.7
289,270,896.5
284,310,917.8
289,350,791.2
289,390,737.6
289,430,778.3
289,470,948.2
309,10,866.1
309,50,856.4
309,90,949.3
309,130,1361.7
309,170,1031
309,210,853.4
309,250,1278.1
309,290,1236.3
309,330,1190.8
309,370,1013.1
309,410,651.7
309,450,772
311,490,674.1
329,30,819.8
329,70,967
329,110,906.4
329,150,1147.4
329,190,1270.8
329,230,657.8
329,270,406.3
329,310,1088.1
329,350,965.3
329,390,1215
329,430,927.3
329,470,900.3
349,10,814.7
349,50,651.9
349,90,894.8
