x	y	elev
0	0	397.02
20	0	390.921
40	0	376.643
60	0	363.41
80	0	354.427
100	0	352.114
120	0	350.546
140	0	370.264
160	0	372.83
180	0	365.063
200	0	355.592
220	0	344.995
240	0	331.364
260	0	323.93
280	0	316.504
300	0	314.611
320	0	304.263
340	0	326.447
360	0	344.067
380	0	362.727
400	0	377.289
420	0	387.996
440	0	378.537
460	0	367.774
480	0	356.195
500	0	346.403
0	20	409.85
20	20	399.509
40	20	386.714
60	20	371.872
80	20	362.249
100	20	360
120	20	364.851
140	20	379.499
160	20	385.261
180	20	374.578
200	20	362.269
220	20	351.328
240	20	338.97
260	20	333.365
280	20	324.379
300	20	317.953
320	20	312.841
340	20	327.696
360	20	346.673
380	20	360.641
400	20	379.584
420	20	397.159
440	20	392.484
460	20	390.753
480	20	362.698
500	20	360.723
0	40	421.507
20	40	408.322
40	40	395.852
60	40	382.357
80	40	372.634
100	40	361.99
120	40	375.315
140	40	389.721
160	40	395.07
180	40	379.561
200	40	370.749
220	40	359.977
240	40	356.129
260	40	343.943
280	40	334.055
300	40	329.078
320	40	321.887
340	40	334.751
360	40	353.291
380	40	370.584
400	40	386.327
420	40	401.391
440	40	407.868
460	40	384.376
480	40	380.166
500	40	371.934
0	60	431.543
20	60	419.602
40	60	406.374
60	60	390.474
80	60	380.734
100	60	375.875
120	60	386.267
140	60	400.388
160	60	403.757
180	60	391.263
200	60	377.018
220	60	367.423
240	60	366.856
260	60	355.436
280	60	342.703
300	60	336.758
320	60	335.308
340	60	336.691
360	60	356.014
380	60	376.612
400	60	395.217
420	60	410.58
440	60	410.25
460	60	400.746
480	60	392.917
500	60	380.043
0	80	439.21
20	80	424.407
40	80	409.021
60	80	395.363
80	80	388.876
100	80	384.874
120	80	398.201
140	80	409.999
160	80	412.798
180	80	397.979
200	80	383.008
220	80	380.197
240	80	379.268
260	80	366.792
280	80	354.831
300	80	349.495
320	80	343.364
340	80	344.832
360	80	362.567
380	80	379.576
400	80	398.256
420	80	413.823
440	80	421.27
460	80	410.07
480	80	399.052
500	80	386.565
0	100	437.013
20	100	430.952
40	100	414.987
60	100	402.754
80	100	396.293
100	100	401.658
120	100	413.256
140	100	419.289
160	100	415.841
180	100	400.546
200	100	395.524
220	100	393.354
240	100	388.928
260	100	375.146
280	100	359.238
300	100	353.89
320	100	354.993
340	100	352.983
360	100	369.382
380	100	384.356
400	100	401.415
420	100	417.394
440	100	428.902
460	100	417.877
480	100	404.308
500	100	394.209
0	120	454.101
20	120	442.731
40	120	425.202
60	120	414.358
80	120	401.683
100	120	413.932
120	120	433.602
140	120	436.422
160	120	424.808
180	120	410.881
200	120	412.014
220	120	404.286
240	120	391.166
260	120	378.987
280	120	362.892
300	120	362.834
320	120	359.566
340	120	357.22
360	120	374.992
380	120	391.034
400	120	411.365
420	120	420.401
440	120	434.545
460	120	427.362
480	120	418.809
500	120	408.651
0	140	471.448
20	140	452.987
40	140	433.022
60	140	424.005
80	140	410.511
100	140	427.463
120	140	444.606
140	140	450.079
160	140	437.572
180	140	427.037
200	140	419.802
220	140	403.724
240	140	388.168
260	140	389.688
280	140	376.871
300	140	375.335
320	140	368.345
340	140	370.767
360	140	384.728
380	140	406.134
400	140	419.555
420	140	432.897
440	140	443.52
460	140	437.229
480	140	428.136
500	140	423.558
0	160	469.446
20	160	450.241
40	160	441.376
60	160	428.546
80	160	426.723
100	160	437.407
120	160	450.762
140	160	462.075
160	160	449.469
180	160	437.498
200	160	423.011
220	160	408.673
240	160	405.831
260	160	395.488
280	160	388.561
300	160	384.706
320	160	380.001
340	160	382.897
360	160	395.201
380	160	413.13
400	160	427.306
420	160	438.676
440	160	449.983
460	160	444.427
480	160	443.462
